x,y_teo,y,y_sin,y_con
0.0,62.55015844922859,62.2383729521954,61.52643759378502,61.52493124527665
1.0,60.37812503410072,59.71094873197417,59.50271007795743,59.50139447168905
2.0,58.22810288099241,64.47888367549719,57.4826291723552,57.481500723094186
3.0,56.09825397507878,48.55781821068885,55.4679946640697,55.46704815190125
4.0,53.987813103435045,58.46013919241864,53.46060634019231,53.45983491051949
5.0,51.89704538740604,41.63072282304001,51.46226398781445,51.46165915135815
6.0,49.82718987034265,48.59200357999705,49.47442122106793,49.47397330927319
7.0,47.78038995734843,46.372962210105065,47.497146962246276,47.49684694890735
8.0,45.75961171212951,52.52847597499211,45.53016396068337,45.53000391735003
9.0,43.76855120867803,43.69279549891108,43.57319496571315,43.57316806169069
10.0,41.81153230934342,38.13233058786421,41.62596272666957,41.62606322901877
11.0,39.893396393146915,48.13552739170942,39.69001377798353,39.69023670686427
12.0,38.01938568660472,47.68533754523479,37.77418979447393,37.774529544519375
13.0,36.1950219518404,32.05965232439508,35.889156236056635,35.88960623171682
14.0,34.425982361795846,38.57752462570123,34.045578562647506,34.04613125818935
15.0,32.71797443872306,30.02928082326493,32.25412223416244,32.25476911366973
16.0,31.076611949138456,32.05066674992153,30.526112038826312,30.526843332548523
17.0,29.507293635783878,31.050668440552993,28.87551007810003,28.876313627847626
18.0,28.015086625067358,20.36235146926024,27.31693778175349,27.317798757246734
19.0,26.60461627760911,26.988642887163014,25.86501657955661,25.86591747842558
20.0,25.279964151005966,18.90882444157843,24.534367901279293,24.535288549063882
21.0,24.04457561928854,18.108365257874983,23.33650164079294,23.33742009276467
22.0,22.90117854472989,20.15483918876322,22.270481548374896,22.271377696824278
23.0,21.851714226996165,9.946624540942043,21.332259838404006,21.333116314462327
24.0,20.897281664775328,12.038628932802665,20.5177887252591,20.518590898898452
25.0,20.038095958945274,21.428913716906397,19.823020423319022,19.823756403352313
26.0,19.273461467264923,23.13841711392298,19.242480579509053,19.2431412369002
27.0,18.601760091913434,23.71449626350937,18.764988570940208,18.765567632045087
28.0,18.02045484653336,15.236342535024558,18.377937207269937,18.37843127714659
29.0,17.526108612418145,21.709168197531437,18.0687192981557,18.069127860564343
30.0,17.114417757823155,26.521710817556702,17.82472765325495,17.825053070657987
31.0,16.78026006375275,23.851597298906835,17.634172888991746,17.634419746445957
32.0,16.517756177583795,8.214014966117512,17.488536848856526,17.48870932958193
33.0,16.32034360599547,5.836340834005997,17.380119183106327,17.38022041237839
34.0,16.18086206416279,18.59720481157791,17.301219541998186,17.301251587147814
35.0,16.091648822074493,23.55854560984332,17.244137575789154,17.244101446202706
36.0,16.04464253390431,15.90162442167843,17.2012717661356,17.20116757236441
37.0,16.031493905017754,21.74690015445233,17.165415920291313,17.165243510489738
38.0,16.043681445485362,17.513465097634466,17.129462676909405,17.12922179594435
39.0,16.07263048054933,17.41721331789149,17.086304674642996,17.085994964093924
40.0,16.109833538578854,17.889920721748553,17.02883455214522,17.028455550304137
41.0,16.146970216430276,17.47149053514983,16.951208055760446,16.950759216764418
42.0,16.176024631125053,13.636219633786615,16.85263336259812,16.852114132959223
43.0,16.18939860523209,27.263089285839087,16.733581757458925,16.732991595196744
44.0,16.180018800692174,21.700706213526985,16.594524525143548,16.593862899785194
45.0,16.141436111001426,12.793938731301706,16.435932950452695,16.43519934303279
46.0,16.06791574319389,14.35656550569564,16.25824366535562,16.25743801364824
47.0,15.954516567035075,9.706916755204007,16.061754690495825,16.060879169942318
48.0,15.797158476982167,18.679375030179983,15.846729393685374,15.845788862626296
49.0,15.592676700159592,7.028411071335276,15.61343114273633,15.612433142411444
50.0,15.338862187912998,13.339263674248627,15.362123305460772,15.36107806000905
51.0,15.034487446253205,19.518338402341993,15.092375848412711,15.09129673795199
52.0,14.679317388287194,18.040695158494906,14.800985133113972,14.799890586059565
53.0,14.274105026002267,17.716358644158657,14.484054119828311,14.482968085972676
54.0,13.820572055867313,6.735288944069045,14.137685768819502,14.136637719332224
55.0,13.321374628942461,17.909275129244993,13.757983040351316,13.757007967779128
56.0,12.780054827860155,11.97374492750924,13.342260108264657,13.34139783590895
57.0,12.200978596542113,20.148804651028385,12.892676000708985,12.891968420135926
58.0,11.589261080361105,9.930695206035532,12.412600959410883,12.412091339828955
59.0,10.950680531338833,21.0279863772166,11.90540522609694,11.905138214356928
60.0,10.291582111819569,12.782553356112503,11.374459042493758,11.374480663088761
61.0,9.618773088084081,14.104862711788078,10.8242559075956,10.824612543870657
62.0,8.939411040103522,6.584228603532081,10.26378234946745,10.264516668458098
63.0,8.260886822977314,5.822942388901686,9.703148153441962,9.704298087083865
64.0,7.590704097846448,5.275628266741496,9.15246310485179,9.154061849980746
65.0,6.93635730394126,12.941770366381856,8.621836989029603,8.623913007381532
66.0,6.3052099680706775,3.6191153754842773,8.120522688229551,8.123098793876473
67.0,5.70437524290402,5.007871132752773,7.654345472391766,7.657435181485667
68.0,5.1406005309143366,12.154688221176311,7.228273708377875,7.231880326586673
69.0,4.620157987382844,7.713841708291138,6.847275763049507,6.85139238555705
70.0,4.148742604397902,2.601539220899296,6.516320003268293,6.520929514774366
71.0,3.7313794597469983,5.441654342147216,6.23855866560762,6.243631223903597
72.0,3.372341571838645,-5.055200531860946,6.009879465487911,6.015362435759398
73.0,3.075079636531218,-5.979414488105457,5.824353988041345,5.830169426443846
74.0,2.8421647365666156,5.448012105476726,5.676053818400102,5.682098472059014
75.0,2.6752449120983393,19.205264695307847,5.559050541696367,5.565195848706981
76.0,2.5750162647219543,14.639773114800606,5.468840787804258,5.474927727682881
77.0,2.5412090408330092,17.66059923206039,5.40662136556565,5.4124398610540965
78.0,2.572588906589587,5.995214362306124,5.3750141285643505,5.380297896081067
79.0,2.6669733898883625,-0.4921196413426614,5.376640930384171,5.3810674800242335
80.0,2.821263228271008,9.230602153878738,5.4141236246089255,5.41731426014404
81.0,3.0314881292526294,-4.1357720855407365,5.489042771012484,5.490561851268275
82.0,3.2928662248328573,-13.865261690481013,5.598813754128951,5.598165738494114
83.0,3.599876288420364,6.145118442751709,5.73981066468249,5.736439374486078
84.0,3.946341583405332,10.148017390502158,5.908407593397264,5.901696211908692
85.0,4.325524031257092,8.556745496639081,6.1009786309974405,6.090249703426478
86.0,4.730227226136331,14.03181736758162,6.31352271227815,6.298051285703417
87.0,5.152906685103468,9.745423365881955,6.5405381483183955,6.51960433140132
88.0,5.585785610229447,7.663638301650843,6.776148094268146,6.74905019718145
89.0,6.020974353032299,-0.30192947904960477,7.014475705277371,6.980530239705075
90.0,6.4505917140126385,5.673659115869843,7.249644136496043,7.208185815633467
91.0,6.866886181543764,-0.22172057074712903,7.475416548626541,7.425839437414723
92.0,7.262355215432331,5.049374095307877,7.684116124580883,7.626038240644286
93.0,7.629860711087241,19.04630028863771,7.8677060528234914,7.801010516704423
94.0,7.962738839939969,9.22398218758729,8.018149521818792,7.942984556977407
95.0,8.25490254961722,10.51511941181775,8.127409720031215,8.044188652845513
96.0,8.50093512200613,4.337320317618127,8.18847206617908,8.097947896772855
97.0,8.69617332698393,24.313052997439407,8.198410899996311,8.101974585550904
98.0,8.836778872030003,-3.0628880981535893,8.155322791470713,8.055077817052974
99.0,8.919797030662991,3.3586150800119574,8.057304310590101,7.956066689152376
100.0,8.943201532798673,14.618577941275973,7.902452027342294,7.803750299722429
101.0,8.905925014581832,4.4024200921247445,7.689365468357849,7.597516293180384
102.0,8.807874550661353,4.042314289991975,7.41865598683831,7.339066500119251
103.0,8.649932024734587,11.700321977347492,7.09143789262796,7.030681297675976
104.0,8.433939330851345,12.924394306694698,6.7088254955710855,6.674641062987508
105.0,8.162668634746431,12.258473894464956,6.271933105511977,6.273226173190797
106.0,7.839778157668055,2.7027562465180495,5.783254579169186,5.830055433897212
107.0,7.469754171148561,11.989423273522537,5.250801960758336,5.354101364615806
108.0,7.0578401063976095,-0.2008098805454619,4.683966841369312,4.8556749133300485
109.0,6.6099538831276945,1.10476044522313,4.092140812092002,4.345087028023415
110.0,6.132594746509163,0.15164415784931595,3.4847154640162987,3.8326486566793774
111.0,5.6327410647272655,7.598922497471756,2.8709842923132545,3.3281885802031583
